Time (UTC),Open,High,Low,Close,Volume 
2019.12.30 22:00:00,1.11985,1.12391,1.11974,1.12076,110824.29
2020.01.01 22:00:00,1.12143,1.12245,1.11635,1.11722,486669.028
2020.01.02 22:00:00,1.11722,1.11798,1.11249,1.11548,179358.55
2020.01.05 22:00:00,1.11656,1.12055,1.11571,1.11968,139972.985
2020.01.06 22:00:00,1.1196,1.11975,1.11335,1.11526,152901.855
2020.01.07 22:00:00,1.11529,1.11682,1.11016,1.11053,199890.27
2020.01.08 22:00:00,1.11053,1.11204,1.10924,1.11051,143293.645
2020.01.09 22:00:00,1.11051,1.11291,1.1085,1.11165,128788.1525
2020.01.12 22:00:00,1.11141,1.11469,1.11125,1.11338,121005.1305
2020.01.13 22:00:00,1.11338,1.11444,1.11045,1.11274,137411.61
2020.01.14 22:00:00,1.11284,1.11634,1.11185,1.11495,148755.545
2020.01.15 22:00:00,1.11492,1.11727,1.11279,1.11358,132757.315
2020.01.16 22:00:00,1.11358,1.11425,1.10862,1.1089,126960.3575
2020.01.19 22:00:00,1.1091,1.11023,1.10766,1.10944,97404.34
2020.01.20 22:00:00,1.10934,1.11179,1.10809,1.10819,132942.335
2020.01.21 22:00:00,1.10816,1.10984,1.107,1.1092,135326.4698
2020.01.22 22:00:00,1.1092,1.11087,1.10362,1.10542,170843.2323
2020.01.23 22:00:00,1.10542,1.10617,1.10195,1.10224,126007.9525
2020.01.26 22:00:00,1.10318,1.10375,1.10096,1.10184,133966.0817
2020.01.27 22:00:00,1.10185,1.10252,1.09978,1.1022,122430.63
2020.01.28 22:00:00,1.10219,1.10276,1.09923,1.10098,121048.57
2020.01.29 22:00:00,1.10097,1.10393,1.10069,1.10312,145870.8827
2020.01.30 22:00:00,1.10312,1.10954,1.10168,1.10944,144516.35
2020.02.02 22:00:00,1.10939,1.10939,1.10356,1.10593,135229.0774
2020.02.03 22:00:00,1.1059,1.10641,1.10328,1.10434,113720.085
2020.02.04 22:00:00,1.10436,1.10479,1.09937,1.09989,123497.921
2020.02.05 22:00:00,1.09989,1.10138,1.09644,1.09827,101074.23
2020.02.06 22:00:00,1.09827,1.09849,1.09419,1.09438,133507.475
2020.02.09 22:00:00,1.09439,1.09574,1.09076,1.09105,104173.425
2020.02.10 22:00:00,1.09105,1.09248,1.08913,1.09143,97736.852
2020.02.11 22:00:00,1.09139,1.09255,1.08654,1.08728,230124.697
2020.02.12 22:00:00,1.08707,1.08887,1.0834,1.08408,357053.315
2020.02.13 22:00:00,1.08408,1.08611,1.08271,1.08299,121806.8396
2020.02.16 22:00:00,1.08406,1.08509,1.08291,1.08345,74181.63
2020.02.17 22:00:00,1.08343,1.08373,1.07854,1.07907,132797.012
